# GENERATED by tools/gen-program-index.py -- do not edit.
# program	package
locate	findutils
logger	util-linux
login	shadow
loginctl	elogind
logname	uutils-coreutils
logoutd	shadow
look	util-linux
losetup	util-linux
ls	uutils-coreutils
lsblk	util-linux
lsclocks	util-linux
lscpu	util-linux
lsfd	util-linux
lsipc	util-linux
lsirq	util-linux
lslocks	util-linux
lslogins	util-linux
lsmem	util-linux
lsmod	kmod
lsns	util-linux
lto-dump	gcc
lzcat	xz
lzcmp	xz
lzdiff	xz
lzegrep	xz
lzfgrep	xz
lzgrep	xz
lzless	xz
lzma	xz
lzmadec	xz
lzmainfo	xz
lzmore	xz
m4	m4
make	make
makedb	glibc
makeinfo	texinfo
mcookie	util-linux
md5sum	uutils-coreutils
mesg	util-linux
meson	meson
mkdir	uutils-coreutils
mkfifo	uutils-coreutils
mkfs	util-linux
mkfs.bfs	util-linux
mkfs.cramfs	util-linux
mkfs.minix	util-linux
mkhomedir_helper	linux-pam
mknod	uutils-coreutils
mkswap	util-linux
mktemp	uutils-coreutils
modinfo	kmod
modprobe	kmod
more	uutils-coreutils
mount	util-linux
mountpoint	util-linux
mouse-dpi-tool	libevdev
msgattrib	gettext
msgcat	gettext
msgcmp	gettext
msgcomm	gettext
msgconv	gettext
msgen	gettext
msgexec	gettext
msgfilter	gettext
msgfmt	gettext
msggrep	gettext
msginit	gettext
msgmerge	gettext
msgunfmt	gettext
msguniq	gettext
mtdev-test	mtdev
mtrace	glibc
mv	uutils-coreutils
namei	util-linux
ncursesw6-config	ncurses
newgidmap	shadow
newgrp	shadow
newuidmap	shadow
newusers	shadow
ngettext	gettext
nice	uutils-coreutils
ninja	ninja
nl	uutils-coreutils
nm	binutils
nohup	uutils-coreutils
nologin	shadow
nproc	uutils-coreutils
nsenter	util-linux
numfmt	uutils-coreutils
objcopy	binutils
objdump	binutils
od	uutils-coreutils
openssl	openssl
opt	llvm
pal2rgb	libtiff
pam_namespace_helper	linux-pam
pam_timestamp_check	linux-pam
pango-list	pango
pango-segmentation	pango
pango-view	pango
partx	util-linux
passwd	shadow
paste	uutils-coreutils
patch	patch
pathchk	uutils-coreutils
pcprofiledump	glibc
pcre2-config	pcre2
pcre2grep	pcre2
pcre2test	pcre2
pdftexi2dvi	texinfo
perl	perl
perl5.42.0	perl
perlbug	perl
perldoc	perl
perlivp	perl
perlthanks	perl
piconv	perl
pinky	uutils-coreutils
pipesz	util-linux
pivot_root	util-linux
pkg-config	pkgconf
pkgconf	pkgconf
pl2pm	perl
pldd	glibc
png-fix-itxt	libpng
pngfix	libpng
pod2html	perl
pod2man	perl
pod2texi	texinfo
pod2text	perl
pod2usage	perl
podchecker	perl
ppm2tiff	libtiff
pr	uutils-coreutils
printenv	uutils-coreutils
printf	uutils-coreutils
printf_gettext	gettext
printf_ngettext	gettext
prlimit	util-linux
prove	perl
ptar	perl
ptardiff	perl
ptargrep	perl
ptx	uutils-coreutils
pwck	shadow
pwconv	shadow
pwd	uutils-coreutils
pwhistory_helper	linux-pam
pwunconv	shadow
pydoc3	python
pydoc3.13	python
python	python
python3	python
python3-config	python
python3.13	python
python3.13-config	python
ranlib	binutils
raw2tiff	libtiff
rdjpgcom	libjpeg-turbo
readelf	binutils
readlink	uutils-coreutils
readprofile	util-linux
realpath	uutils-coreutils
recode-sr-latin	gettext
reduce-chunk-list	llvm
rename	util-linux
renice	util-linux
reset	ncurses
resizepart	util-linux
rev	util-linux
rfkill	util-linux
rm	uutils-coreutils
rmdir	uutils-coreutils
rmmod	kmod
rmt	tar
rtcwake	util-linux
sancov	llvm
sanstats	llvm
sassc	sassc
script	util-linux
scriptlive	util-linux
scriptreplay	util-linux
sdiff	diffutils
sed	sed
seq	uutils-coreutils
setarch	util-linux
setcap	libcap
setfacl	acl
setfattr	attr
setpgid	util-linux
setsid	util-linux
setterm	util-linux
sfdisk	util-linux
sg	shadow
sh	bash
sha1sum	uutils-coreutils
sha224sum	uutils-coreutils
sha256sum	uutils-coreutils
sha384sum	uutils-coreutils
sha512sum	uutils-coreutils
shasum	perl
shred	uutils-coreutils
shuf	uutils-coreutils
size	binutils
sleep	uutils-coreutils
sln	glibc
sort	uutils-coreutils
sotruss	glibc
splain	perl
split	uutils-coreutils
sprof	glibc
stat	uutils-coreutils
stdbuf	uutils-coreutils
streamzip	perl
strings	binutils
strip	binutils
stty	uutils-coreutils
su	shadow
sum	uutils-coreutils
swaplabel	util-linux
swapoff	util-linux
swapon	util-linux
switch_root	util-linux
sync	uutils-coreutils
tabs	ncurses
tac	uutils-coreutils
tail	uutils-coreutils
tape	tape
tape-builder	tape
tape-repo	tape
taped	tape
tar	tar
taskset	util-linux
tee	uutils-coreutils
test	uutils-coreutils
texi2any	texinfo
texi2dvi	texinfo
texi2pdf	texinfo
texindex	texinfo
tic	ncurses
tiff2bw	libtiff
tiff2pdf	libtiff
tiff2ps	libtiff
tiff2rgba	libtiff
tiffcmp	libtiff
tiffcp	libtiff
tiffcrop	libtiff
tiffdither	libtiff
tiffdump	libtiff
tiffinfo	libtiff
tiffmedian	libtiff
tiffset	libtiff
tiffsplit	libtiff
timeout	uutils-coreutils
tjbench	libjpeg-turbo
toe	ncurses
touch	uutils-coreutils
touchpad-edge-detector	libevdev
tput	ncurses
tr	uutils-coreutils
true	uutils-coreutils
truncate	uutils-coreutils
tset	ncurses
tsort	uutils-coreutils
tty	uutils-coreutils
tzselect	glibc
uclampset	util-linux
udevadm	eudev
udevd	eudev
ul	util-linux
umount	util-linux
uname	uutils-coreutils
uname26	util-linux
uncompress	gzip
unexpand	uutils-coreutils
uniq	uutils-coreutils
unix_chkpwd	linux-pam
unlink	uutils-coreutils
unlzma	xz
unshare	util-linux
unxz	xz
update-desktop-database	desktop-file-utils
update-mime-database	shared-mime-info
updatedb	findutils
uptime	uutils-coreutils
useradd	shadow
userdel	shadow
usermod	shadow
users	uutils-coreutils
utmpdump	util-linux
uuidd	util-linux
uuidgen	util-linux
uuidparse	util-linux
vdir	uutils-coreutils
verify-uselistorder	llvm
vigr	shadow
vipw	shadow
waitpid	util-linux
wall	util-linux
wayland-scanner	wayland
wc	uutils-coreutils
wdctl	util-linux
webpinfo	libwebp
webpmux	libwebp
whereis	util-linux
who	uutils-coreutils
whoami	uutils-coreutils
wipefs	util-linux
wrjpgcom	libjpeg-turbo
xargs	findutils
xb-tool	libxmlb
xgettext	gettext
xkbcli	libxkbcommon
xml2-config	libxml2
xmlcatalog	libxml2
xmllint	libxml2
xmlwf	expat
xslt-config	libxslt
xsltproc	libxslt
xsubpp	perl
xtrace	glibc
xz	xz
xzcat	xz
xzcmp	xz
xzdec	xz
xzdiff	xz
xzegrep	xz
xzfgrep	xz
xzgrep	xz
xzless	xz
xzmore	xz
yacc	bison
yes	uutils-coreutils
zcat	gzip
zcmp	gzip
zdiff	gzip
zdump	glibc
zegrep	gzip
zfgrep	gzip
zforce	gzip
zgrep	gzip
zic	glibc
zipdetails	perl
zmore	gzip
znew	gzip
zramctl	util-linux
